Title,Director,Cast,genres,combo
meelo evaru koteeswarudu,e. satthibabu,naveen chandra shruti sodhi saloni aswani dhanraj raghu babu prabhas sreenu pruthviraj balireddy,un_known,meelo evaru koteeswarudu e. satthibabu naveen chandra shruti sodhi saloni aswani dhanraj raghu babu prabhas sreenu pruthviraj balireddy un_known
janaki ramudu,t. satish babu,mouryaani naveen sanjay arjun yajath,Drama Romance,janaki ramudu t. satish babu mouryaani naveen sanjay arjun yajath Drama Romance
naanna nenu naa boyfriends,bhaskar bandi,hebah patel tejaswi madivada noel sean parvateesam rao ramesh sana,Comedy Romance,naanna nenu naa boyfriends bhaskar bandi hebah patel tejaswi madivada noel sean parvateesam rao ramesh sana Comedy Romance
saptagiri express,arun pawar,saptagiri roshini prakash ali posani krishna murali shayaji shinde shakalaka shankar,Comedy,saptagiri express arun pawar saptagiri roshini prakash ali posani krishna murali shayaji shinde shakalaka shankar Comedy
vangaveeti,ram gopal varma,sandeep kumar vamsi nakkanti vamsi changanti naina ganguly kautilya,Crime Action,vangaveeti ram gopal varma sandeep kumar vamsi nakkanti vamsi changanti naina ganguly kautilya Crime Action
sarabha,narsimha rao,aakash kumar sehdev mishti chakravarty jayaprada nassar,Thriller Crime Mystery,sarabha narsimha rao aakash kumar sehdev mishti chakravarty jayaprada nassar Thriller Crime Mystery
pittagoda,anudeep k. v.,vishwadev punarnavi bhupalam,Romance Comedy,pittagoda anudeep k. v. vishwadev punarnavi bhupalam Romance Comedy
appatlo okadundevadu,sagar k. chandra,nara rohith sree vishnu tanya hope rajeev kanakala posani krishna murali,un_known,appatlo okadundevadu sagar k. chandra nara rohith sree vishnu tanya hope rajeev kanakala posani krishna murali un_known
karam dosa,trivikram gajulapalli,shivakumar ramachandravarapu surya sreenivas y. kasi viswanath,un_known,karam dosa trivikram gajulapalli shivakumar ramachandravarapu surya sreenivas y. kasi viswanath un_known
intlo deyyam nakem bhayam,g. nageswara reddy,allari naresh kruthika jayakumar rajendra prasad,Horror Comedy,intlo deyyam nakem bhayam g. nageswara reddy allari naresh kruthika jayakumar rajendra prasad Horror Comedy
nenosta,parand kalyan,gnan prakash surya sreenivas priyanka pallavi,un_known,nenosta parand kalyan gnan prakash surya sreenivas priyanka pallavi un_known
